ar_5            | mse=0.936208 | r2_vw=0.906059 | r2_mean=0.711691 | pearson_mean=0.841218
tokenizer_last  | mse=6.244804 | r2_vw=0.373383 | r2_mean=0.118349 | pearson_mean=0.187288
raw_pose_yaw_past | mse=10.913951 | r2_vw=-0.095129 | r2_mean=-0.109578 | pearson_mean=-0.003136
raw_pose_yaw_full | mse=10.963802 | r2_vw=-0.100131 | r2_mean=-0.089085 | pearson_mean=0.031151
============================================

===== summary sorted by r2_vw: geometry_head =====
tokenizer_last  | mse=0.007103 | r2_vw=-0.012431 | r2_mean=0.060467 | pearson_mean=0.188605
raw_pose_yaw_full | mse=0.007559 | r2_vw=-0.077373 | r2_mean=-0.096896 | pearson_mean=0.031977
raw_pose_yaw_past | mse=0.007946 | r2_vw=-0.132620 | r2_mean=-0.128982 | pearson_mean=-0.022806
ar_3            | mse=0.027115 | r2_vw=-2.864938 | r2_mean=-1.292234 | pearson_mean=0.421990
ar_5            | mse=0.028880 | r2_vw=-3.116500 | r2_mean=-1.446792 | pearson_mean=0.406963
time_space_1    | mse=0.029054 | r2_vw=-3.141259 | r2_mean=-1.425187 | pearson_mean=0.462436
ar_4            | mse=0.030309 | r2_vw=-3.320149 | r2_mean=-1.559456 | pearson_mean=0.437436
time_space_2    | mse=0.030310 | r2_vw=-3.320329 | r2_mean=-1.526772 | pearson_mean=0.451496
ar_2            | mse=0.031488 | r2_vw=-3.488126 | r2_mean=-1.641009 | pearson_mean=0.429483
ar_1            | mse=0.031832 | r2_vw=-3.537220 | r2_mean=-1.664827 | pearson_mean=0.431561
time_space_0    | mse=0.033080 | r2_vw=-3.715069 | r2_mean=-1.761669 | pearson_mean=0.451146
ar_0            | mse=0.033294 | r2_vw=-3.745661 | r2_mean=-1.781449 | pearson_mean=0.440170
next_state_hidden | mse=0.035185 | r2_vw=-4.015070 | r2_mean=-1.931894 | pearson_mean=0.447137
time_space_11   | mse=0.035334 | r2_vw=-4.036436 | r2_mean=-1.944294 | pearson_mean=0.449360
time_space_4    | mse=0.037852 | r2_vw=-4.395289 | r2_mean=-2.150784 | pearson_mean=0.456893
time_space_3    | mse=0.037876 | r2_vw=-4.398711 | r2_mean=-2.149915 | pearson_mean=0.444265
time_space_6    | mse=0.043956 | r2_vw=-5.265271 | r2_mean=-2.660362 | pearson_mean=0.452492
time_space_7    | mse=0.044326 | r2_vw=-5.318102 | r2_mean=-2.671485 | pearson_mean=0.464960
time_space_10   | mse=0.044594 | r2_vw=-5.356320 | r2_mean=-2.691712 | pearson_mean=0.467817
time_space_8    | mse=0.045183 | r2_vw=-5.440210 | r2_mean=-2.734246 | pearson_mean=0.459222
time_space_9    | mse=0.046033 | r2_vw=-5.561366 | r2_mean=-2.807484 | pearson_mean=0.455936
time_space_5    | mse=0.049886 | r2_vw=-6.110550 | r2_mean=-3.146130 | pearson_mean=0.463014
============================================

===== summary sorted by r2_vw: rollout_head =====
time_space_2    | mse=0.063597 | r2_vw=0.987496 | r2_mean=0.728217 | pearson_mean=0.861507
time_space_0    | mse=0.064760 | r2_vw=0.987268 | r2_mean=0.747394 | pearson_mean=0.876620
time_space_1    | mse=0.078838 | r2_vw=0.984500 | r2_mean=0.752142 | pearson_mean=0.871073
time_space_7    | mse=0.080846 | r2_vw=0.984105 | r2_mean=0.751026 | pearson_mean=0.872702
time_space_3    | mse=0.081285 | r2_vw=0.984019 | r2_mean=0.705511 | pearson_mean=0.851788
time_space_8    | mse=0.081459 | r2_vw=0.983984 | r2_mean=0.746933 | pearson_mean=0.872236
time_space_9    | mse=0.091628 | r2_vw=0.981985 | r2_mean=0.757689 | pearson_mean=0.877515
time_space_6    | mse=0.100563 | r2_vw=0.980228 | r2_mean=0.691419 | pearson_mean=0.842625
ar_0            | mse=0.109960 | r2_vw=0.978381 | r2_mean=0.722259 | pearson_mean=0.862931
time_space_10   | mse=0.110486 | r2_vw=0.978277 | r2_mean=0.755928 | pearson_mean=0.876208
ar_1            | mse=0.117111 | r2_vw=0.976975 | r2_mean=0.697578 | pearson_mean=0.840427
time_space_4    | mse=0.119561 | r2_vw=0.976493 | r2_mean=0.724234 | pearson_mean=0.861289
time_space_5    | mse=0.122246 | r2_vw=0.975965 | r2_mean=0.697288 | pearson_mean=0.846770
ar_2            | mse=0.138600 | r2_vw=0.972750 | r2_mean=0.650851 | pearson_mean=0.814672
next_state_hidden | mse=0.143224 | r2_vw=0.971841 | r2_mean=0.739747 | pearson_mean=0.869983
time_space_11   | mse=0.143730 | r2_vw=0.971741 | r2_mean=0.739946 | pearson_mean=0.869744
ar_3            | mse=0.154101 | r2_vw=0.969702 | r2_mean=0.619301 | pearson_mean=0.797034
ar_5            | mse=0.155181 | r2_vw=0.969490 | r2_mean=0.674548 | pearson_mean=0.825166
ar_4            | mse=0.155842 | r2_vw=0.969360 | r2_mean=0.636824 | pearson_mean=0.805815
tokenizer_last  | mse=2.488801 | r2_vw=0.510676 | r2_mean=0.236968 | pearson_mean=0.351364
raw_pose_yaw_past | mse=5.513610 | r2_vw=-0.084033 | r2_mean=-0.099833 | pearson_mean=0.018991
raw_pose_yaw_full | mse=5.612372 | r2_vw=-0.103451 | r2_mean=-0.096783 | pearson_mean=0.022659
============================================
