layer,speed_token,speed_corr,offset_token,offset_corr,progress_token,progress_corr,speed->yaw,speed->speed,speed->offset,speed->progress,offset->yaw,offset->offset,progress->yaw,progress->speed,progress->progress
ar_0,"img[8,1]",0.8992807659233105,"img[13,2]",0.5258449201209305,"img[8,3]",0.8962743045855284,0.18753089010715485,0.010759844444692135,0.0,0.0,0.0963100865483284,0.01673957332968712,0.15951983630657196,0.05274231731891632,0.0219021737575531
ar_1,pose_y,0.9119882530613513,"img[8,2]",0.5481737138576719,"img[15,26]",0.8946006473902532,0.8219426870346069,0.08595684915781021,0.0,0.0,0.3814765512943268,0.04766035079956055,0.20781028270721436,0.0029675024561583996,0.029873529449105263
ar_2,"img[15,26]",0.8945757373404317,"img[8,0]",0.503782088092165,pose_y,0.9183247280498394,0.2511867582798004,0.03594299405813217,0.00038518986548297107,0.011445553041994572,0.35917365550994873,0.05603243410587311,0.7995226383209229,0.0,0.08776244521141052
ar_3,pose_y,0.92111107706352,"img[13,25]",0.5351510170385002,"img[4,1]",0.8642761876607473,0.6116867065429688,0.19228963553905487,0.0,0.0,0.2141152173280716,0.0829947292804718,0.15143591165542603,0.0012259023496881127,0.10683088004589081
ar_4,pose_y,0.9261316940235108,"img[7,22]",0.48918649144659676,"img[14,1]",0.8932115685022007,0.5316794514656067,0.01926294155418873,0.0,0.0,0.16217513382434845,0.13399085402488708,0.11703970283269882,0.00384620507247746,0.07282979786396027
ar_5,"img[11,4]",0.9946521119149146,"img[0,12]",0.5353828336538631,"img[9,4]",0.9911759906948467,0.13001811504364014,0.1522475779056549,0.0007811328978277743,0.008603156544268131,0.2109050154685974,0.24669373035430908,0.14964109659194946,0.0,0.1857844442129135
time_space_0.space,"img[5,31]",0.8606216451023306,"img[4,7]",0.6267222224784035,"img[9,4]",0.8643849522628275,0.03769136220216751,0.05008399486541748,0.0013993633911013603,0.0006797651876695454,0.030804961919784546,0.029196877032518387,0.03066239506006241,0.000609861162956804,0.027873558923602104
time_space_11.space,"img[11,4]",0.9649545627255767,"img[0,12]",0.4515859448508475,"img[10,2]",0.950485352517732,0.046039145439863205,0.035171955823898315,0.00018285583064425737,0.0015848594484850764,0.056042131036520004,0.0299728624522686,0.05950011685490608,0.013509991578757763,0.04855071008205414
time_space_5.space,"img[4,3]",0.970931935719244,"img[1,30]",0.5984048732031325,"img[13,2]",0.9668215573450644,0.0014670426025986671,0.02220688760280609,0.000269783369731158,0.0002646126667968929,0.0017487489385530353,0.03750921040773392,0.005532168783247471,0.000452915410278365,0.026470646262168884
